[2025-05-13 15:37:33.4877846] Console created
[2025-05-13 15:37:33.4899966] UE4SS - v3.0.1 Beta #0 - Git SHA #80b67cc
[2025-05-13 15:37:33.4902064] UE4SS Build Configuration: Game__Shipping__Win64 (MSVC)
[2025-05-13 15:37:33.5028033] Setting up mods...
[2025-05-13 15:37:33.5050551] Starting mods (from mods.txt load order)...
[2025-05-13 15:37:33.5056514] Starting mods (from enabled.txt, no defined load order)...
[2025-05-13 15:37:33.5069845] No specific game configuration found, using default configuration file
[2025-05-13 15:37:33.5070453] Config: C:\Users\lbatv\AppData\Roaming\UnrealVRMod\AOB426-Win64-Shipping\plugins\ue4ss\UE4SS-settings.ini

[2025-05-13 15:37:33.5070876] root directory: C:\Users\lbatv\AppData\Roaming\UnrealVRMod\AOB426-Win64-Shipping\plugins\ue4ss
[2025-05-13 15:37:33.5071134] working directory: C:\Users\lbatv\AppData\Roaming\UnrealVRMod\AOB426-Win64-Shipping\plugins\ue4ss
[2025-05-13 15:37:33.5071375] game executable directory: R:\Unreal Projects\AOB426\build\WindowsNoEditor\AOB426\Binaries\Win64
[2025-05-13 15:37:33.5072001] game executable: R:\Unreal Projects\AOB426\build\WindowsNoEditor\AOB426\Binaries\Win64\AOB426-Win64-Shipping.exe (74177024 bytes)


[2025-05-13 15:37:33.5072321] mods directory: C:\Users\lbatv\AppData\Roaming\UnrealVRMod\AOB426-Win64-Shipping\plugins\ue4ss\Mods
[2025-05-13 15:37:33.5072552] log directory: C:\Users\lbatv\AppData\Roaming\UnrealVRMod\AOB426-Win64-Shipping\plugins\ue4ss
[2025-05-13 15:37:33.5072771] object dumper directory: C:\Users\lbatv\AppData\Roaming\UnrealVRMod\AOB426-Win64-Shipping\plugins\ue4ss


[2025-05-13 15:37:33.5164801] Getting ordered lists from ini file
[2025-05-13 15:37:33.5191784] UObjectBase
[2025-05-13 15:37:33.5196251] UObjectBase::__vecDelDtor = 0x0
[2025-05-13 15:37:33.5205017] UObjectBase::RegisterDependencies = 0x8
[2025-05-13 15:37:33.5206054] UObjectBase::DeferredRegister = 0x10
[2025-05-13 15:37:33.5206946] UObjectBaseUtility
[2025-05-13 15:37:33.5207296] UObjectBaseUtility::__vecDelDtor = 0x0
[2025-05-13 15:37:33.5207737] UObjectBaseUtility::CanBeClusterRoot = 0x18
[2025-05-13 15:37:33.5224755] UObjectBaseUtility::CanBeInCluster = 0x20
[2025-05-13 15:37:33.5225636] UObjectBaseUtility::CreateCluster = 0x28
[2025-05-13 15:37:33.5226280] UObjectBaseUtility::OnClusterMarkedAsPendingKill = 0x30
[2025-05-13 15:37:33.5226842] UObject
[2025-05-13 15:37:33.5229585] UObject::__vecDelDtor = 0x0
[2025-05-13 15:37:33.5230255] UObject::GetDetailedInfoInternal = 0x38
[2025-05-13 15:37:33.5230938] UObject::PostInitProperties = 0x40
[2025-05-13 15:37:33.5237057] UObject::PostCDOContruct = 0x48
[2025-05-13 15:37:33.5237737] UObject::PreSaveRoot = 0x50
[2025-05-13 15:37:33.5238476] UObject::PostSaveRoot = 0x58
[2025-05-13 15:37:33.5239069] UObject::PreSave = 0x60
[2025-05-13 15:37:33.5239601] UObject::IsReadyForAsyncPostLoad = 0x68
[2025-05-13 15:37:33.5240177] UObject::PostLoad = 0x70
[2025-05-13 15:37:33.5241076] UObject::PostLoadSubobjects = 0x78
[2025-05-13 15:37:33.5241749] UObject::BeginDestroy = 0x80
[2025-05-13 15:37:33.5242291] UObject::IsReadyForFinishDestroy = 0x88
[2025-05-13 15:37:33.5242831] UObject::FinishDestroy = 0x90
[2025-05-13 15:37:33.5243403] UObject::Serialize = 0x98
[2025-05-13 15:37:33.5244326] UObject::Serialize_1 = 0xA0
[2025-05-13 15:37:33.5244875] UObject::ShutdownAfterError = 0xA8
[2025-05-13 15:37:33.5245402] UObject::PostInterpChange = 0xB0
[2025-05-13 15:37:33.5246448] UObject::PostRename = 0xB8
[2025-05-13 15:37:33.5247165] UObject::PreDuplicate = 0xC0
[2025-05-13 15:37:33.5247980] UObject::PostDuplicate = 0xC8
[2025-05-13 15:37:33.5264204] UObject::PostDuplicate_1 = 0xD0
[2025-05-13 15:37:33.5270705] UObject::NeedsLoadForClient = 0xD8
[2025-05-13 15:37:33.5271624] UObject::NeedsLoadForServer = 0xE0
[2025-05-13 15:37:33.5272361] UObject::NeedsLoadForTargetPlatform = 0xE8
[2025-05-13 15:37:33.5272911] UObject::NeedsLoadForEditorGame = 0xF0
[2025-05-13 15:37:33.5273526] UObject::IsEditorOnly = 0xF8
[2025-05-13 15:37:33.5274189] UObject::IsPostLoadThreadSafe = 0x100
[2025-05-13 15:37:33.5275488] UObject::IsDestructionThreadSafe = 0x108
[2025-05-13 15:37:33.5276488] UObject::GetPreloadDependencies = 0x110
[2025-05-13 15:37:33.5277065] UObject::GetPrestreamPackages = 0x118
[2025-05-13 15:37:33.5277835] UObject::ExportCustomProperties = 0x120
[2025-05-13 15:37:33.5278577] UObject::ImportCustomProperties = 0x128
[2025-05-13 15:37:33.5279156] UObject::PostEditImport = 0x130
[2025-05-13 15:37:33.5280380] UObject::PostReloadConfig = 0x138
[2025-05-13 15:37:33.5280933] UObject::Rename = 0x140
[2025-05-13 15:37:33.5282288] UObject::GetDesc = 0x148
[2025-05-13 15:37:33.5282774] UObject::GetSparseClassDataStruct = 0x150
[2025-05-13 15:37:33.5283300] UObject::GetWorld = 0x158
[2025-05-13 15:37:33.5283707] UObject::GetNativePropertyValues = 0x160
[2025-05-13 15:37:33.5284269] UObject::GetResourceSizeEx = 0x168
[2025-05-13 15:37:33.5284771] UObject::GetExporterName = 0x170
[2025-05-13 15:37:33.5285156] UObject::GetRestoreForUObjectOverwrite = 0x178
